name,bio,location,investment_stages,investment_markets,portfolio_companies
Abdul Qadir,"Abdul Qadir has been living and breathing all things digital since 2003, at times (some might say sadly) he even dreams about digital marketing and new ways to improve and enhance the experience and profitability of business owners. He has worked with Emirates, Jumeirah Group, Dubai Government Entities, VISA, Rocket Internet and several other big and small businesses.

He loves spreading his knowledge and educating and helping small and medium-sized businesses in how they can embrace and benefit from the power of the internet and enjoys contributing to their growth and success. 

He tends to shun the spotlight, likes to work behind the scenes, and isn't the kind of guy who feels comfortable blowing his own trumpet – maybe that’s not a good thing, or then again.

Over the past 14 years, he has observed success and failure of people across the digital and online marketing world and has concluded that online marketing takes a lot of sustained effort, trial, and error, detailed learning, and patience.

His expertise is really to do with maximizing the full range of tools available to succeed online and bringing all resources into play to ensure maximum growth.",dubai-dubai,"early_stage_venture, seed",,
Abdulrahman Al-Qahtani,Abdulrahman Al-Qahtani is the Chief Executive Officer at DAAL. He attended Prince Mohammad Bin Fahd University.,al-khobar-ash-sharqiyah,,,
Abdulrahman Tarabzouni,"Abdulrahman Tarabzouni is the Founding Chairman of Saudi Venture Capital and Private Equity Association. Previously, held executive leadership roles at Google’s headquarters in California. Headed the company’s global efforts to build new businesses and partnerships for Android, Mobile, and Wireless Communications. Abdulrahman Tarabzouni attended Massachusetts Institute of Technology.",saudi-arabia,,,
Abdulrahman Tobaige,"Abdulrahman Tobaige provides electrical engineering services and work hard to become trusted electrical advisor, someone who will work seamlessly with your staff to deliver the specialized solutions you need.",dubai-dubai,early_stage_venture,,
ABDULRASAK ABDULAKEEM,"Abdulrasak Abdulakeem is a serial entrepreneur and the CEO and Founder of FirstOne Network and roomsms, a team that specializes in social needs, technological advancement, and development for the growing economy, giving the fairest performance for the society and business world.",nigeria,seed,,
Abdulrasaq Ameenat,A professional digital marketer and social media marketing expert with years of experience,,early_stage_venture,,
Abdul Rehman,"A passionate mobile app enthusiast and a visionary in the mobile app sphere. Leads our team with a blend of innovation and practical know-how. His expertise has been the driving force behind several successful apps, making a significant impact in the app world with his unique approach and visionary leadership.",,,,
Abdul Sami Abbas,"Greetings! I am Abdul Sami Abbas, your seasoned technology expert and the Chief Executive Officer at 910 Creatives. With over a decade of experience, I specialize in delivering comprehensive technology solutions to elevate your online presence and revolutionize your business operations. As your go-to technology partner, I bring strategic thinking and a wealth of expertise to the forefront.",united-states,venture,,
Abdulvahap Yakup,"Abdulvahap Yakup is a skilled web developer and entrepreneur based in Turkey. He holds a degree in Computer Engineering from a prestigious university in Turkey, where he gained a strong foundation in software development, web technologies, and digital innovation. With a passion for creating user-friendly and functional websites, Abdulvahap has established himself as a prominent figure in the Turkish digital landscape.

Abdulvahap is the proud owner and operator of two popular Turkish websites: memurhaber365.com and kacgun2017.com. memurhaber365com is a leading news platform dedicated to providing up-to-date information and resources for civil servants in Turkey, offering insights into career developments, legal updates, and lifestyle tips tailored to public sector employees. kacgun2017.com, on the other hand, is a practical and widely-used online tool that helps users calculate time differences, countdowns, and date-related queries with ease.

Through his work, Abdulvahap has demonstrated a deep understanding of the needs of his audience, combining technical expertise with a commitment to delivering valuable content and services. His websites have become trusted resources for thousands of users, reflecting his dedication to quality and innovation.

Abdulvahap continues to explore new opportunities in the digital world, striving to create platforms that simplify life and provide meaningful solutions to everyday challenges. His vision and entrepreneurial spirit make him a standout figure in Turkey's tech community.",turkije-zeeland,,,
Abdur Chowdhury,Abdur Chowdhury is the CEO and Co-Founder of Aura frames. He attended the Illinois Institute of Technology.,san-francisco-california,seed,,
Abdur Rehman,Web developer and Founder at Byteio Digital Solutions,,seed,,
Abdur-Rehman Qadeer,"Writer, poet and eMarket expert making small efforts to change the world.",sialkot-punjab,,,
Abdus samad,Abdussamad Ashraf is the Founder of LinkPG.,new-delhi-delhi,seed,,
Abe Burns,Abe Burns was a former Partner at A-Grade Investments.,united-states,,,
Abeer Almadawy,"PhD/ Abeer Almadawy  is a public figure known as researcher ,novelist and entrepreneur..She is the founder, Owner and CEO of both British companies ;
1- castle journal company Ltd.It’s British company for international newspaper and magazines.
Also 
Castle Orientation Holding Corporation Ltd
For investment in scientific journals, production companies in journalism, news and advertising agencies .
 Abeer Almadawy is known as a famous  novelist and writer....
She is also founder and president of charity Foundation (( Makany for Social and Skills development (MSSD) in her country Egypt",united-kingdom,late_stage_venture,,
Abe Gurjal,"Abe Gurjal is the technical co-founder of Nifti, a Boston-based startup dedicated to helping people save time and money in online shopping. Abe grew up in Queens, New York and received his AB and SM in Computer Science from Harvard University. Abe was a strategy consultant at NERA Economic Consulting and Oliver Wyman before attending the Tuck School of Business at Dartmouth. At Tuck, Abe partnered with a classmate to launch a mobile app company, MobiTech 3000 LLC that quickly grew to more than 9 million unique users across its suite of 10 apps including the best selling business app JotNot Scanner. Abe was first a technical adviser to Nifti before joining to fulfill Nifti’s potential to completely change the way shoppers and merchants engage.",cambridge-massachusetts,seed,,
Abel Boreto,Abel Boreto is the Associate Investment Director of Novastar Ventures. He is a former Board Observer of Ignitia. He attended Harvard University and the Massachusetts Institute of Technology.,nairobi-nairobi-area,,"fintech,ecommerce-retail,iot-hardware,agtech-food",
Abe Murray,"Abe is a General Partner leading Robotics investments and incubation at AlleyCorp. Abe has more than 20 years of engineering experience, having spent time as a product and engineering leader in various roles at Alphabet, where he launched Play Books and Magazines at Android, built the Verily Life Science product teams and Boston office, and shipped several AI/ML and computer vision products across Google while building the Google Research product management team. Before that, he founded a Web 2.0 startup and worked on unmanned aerial vehicles in the defense industry.

Abe holds an MBA from Harvard Business School, a master’s degree in electrical engineering from Worcester Polytechnic Institute, and a bachelor’s degree in computer engineering from the University of Rhode Island.

Prior to all of this, he dropped out of high school to run fishing boats and factories in the family aquaculture business.",cohasset-massachusetts,"seed, early_stage_venture","ai-ml,iot-hardware,agtech-food,robotics-automation,aerospace-defense",
Abe Peled,Abe Peled is the,washington-district-of-columbia,seed,,
Aber Whitcomb,"Aber Whitcomb is co-founder and CTO of Jam City, where he oversees the software architecture underlying the company’s global gaming and analytics platform. 
Director and Co-founder at Core Scientific.",los-angeles-california,seed,,
Abe Yokell,"Abe Yokell is Managing Partner and co-founder of Congruent Ventures, an early stage venture firm that backs companies in the sustainable technology ecosystem. ​ Prior to co-founding Congruent Ventures, Abe spent 13 years at RockPort Capital, helping the RockPort team build nearly half of its portfolio, with a primary focus on business models and software solutions that address climate change challenges. While at RockPort, he was responsible for opening the West Coast office in 2007, where he helped lead investments in energy fintech, residential solar, companies focused on blending software and hardware, data analytics platforms, urban transportation solutions, and energy storage companies.

His RockPort board seats included Renovate America, RePower, Qnovo, Flywheel, and EcoFactor, and he was previously involved with Enphase Energy (NASDAQ: ENPH), Streetline Networks (acquired by Kapsch), Recurve (acquired by Tendril), and Eka Systems (acquired by Cooper Power), among others.

Abe graduated from the University of Pennsylvania with a BA in Economics, with minors in Chemistry and Biology.",san-francisco-california,"Pre-Seed, Seed, Series A","saas-enterprise,fintech,ecommerce-retail,iot-hardware,climate-sustainability",
Abhas Gupta,"Abhas Gupta is the Co-Founder and CEO at Calyx Health. Abhas Gupta focuses on automation and analytics opportunities across all verticals, particularly those in financial services, retail & logistics, and digital health. His other interests include robotics, enterprise workflow automation, and digital marketing. A previous entrepreneur with a background in computer science and strategy consulting, Abhas engages with portfolio company executives on all topics ranging from technology infrastructure to corporate strategy. Abhas works closely with Wildcat portfolio companies Clover Health and Earnest, as well as Mohr Davidow companies BuildDirect, Neon, and WorkFusion. He frequently lectures on entrepreneurship and technology trends; Abhas recently taught the Lean Launchpad course at UCSF with Steve Blank. He attended Brown University in 1998. He Previously worked at Venture For America as Board Member.",san-francisco-california,,"saas-enterprise,fintech,ai-ml,ecommerce-retail,edtech",
Abhay Bhat,Abhay Bhat is the founder of estackk. He is a former project manager at Randstad Singapore.,singapore,,,
Abhay Kumar,Abhay Kumar is the Chief Executive Officer of Helium Foundation. He previously worked at Nova Labs as a Chief Product Officer. Abhay Kumar attended New York University.,san-francisco-california,,,
Abhay Raj Solanki,"Abhay Raj Solanki is an Indian publishing executive. He is the Founder and CEO of Suman Publications, one of India's leading publishing houses. His contributions to the industry have been recognized with numerous awards, including the Best Entrepreneur Award from Indian Achievers Forum.

Born and raised in India, Abhay Raj Solanki developed a passion for literature and books from an early age. He pursued higher education in a field related to publishing, gaining in-depth knowledge of the industry and its various aspects. With a vision to revolutionize the publishing landscape in India, he embarked on his entrepreneurial journey by establishing Suman Publications.

Under Abhay Raj Solanki's leadership, Suman Publications has experienced remarkable growth and success. He has been instrumental in driving the company's expansion, building a strong team, and fostering partnerships with both domestic and international authors, agents, and distributors. Through his strategic vision, he has positioned Suman Publications as a frontrunner in the Indian publishing industry.

Recognizing the importance of aligning Indian publishing standards with international benchmarks, Abhay Raj Solanki has spearheaded efforts to elevate the quality and standards of publications in India. He has introduced innovative practices, modernized production techniques, and embraced digital advancements to ensure that Suman Publications consistently delivers content that meets global standards.

Beyond his role at Suman Publications, Abhay Raj Solanki is actively involved in various industry forums, sharing his expertise and insights to contribute to the overall growth and development of the publishing sector in India. He has been invited as a speaker at conferences, seminars, and workshops, where he discusses emerging trends, challenges, and opportunities in the field.

Abhay Raj Solanki's passion for promoting literature and empowering authors has earned him immense respect within the publishing community. He is known for his commitment to nurturing talent, supporting emerging writers, and providing them with a platform to showcase their work.

Through his relentless dedication, visionary leadership, and pursuit of international standards, Abhay Raj Solanki has made a lasting impact on the Indian publishing industry. His contributions have not only transformed Suman Publications into a renowned publishing house but have also paved the way for the growth and recognition of Indian literature on a global scale.",noida-uttar-pradesh,,,
Abhay Singhal,"Abhay is the co-founder and CEO of InMobi. An entrepreneur at heart, during his undergraduate years, he co-founded TeN and raised VC money shortly. He headed sales at TeN and contributed to a significant revenue growth under him. His love for entrepreneurship and urge to build a company of a global scale took him to Mumbai along with Naveen, Amit and Mohit where the disruptive journey of InMobi began at their shared apartment growing to 1.4 billion unique users across over 240 countries today. Abhay innovates future growth opportunities at InMobi by taking care of sales and global revenue strategies development. He dedicated around two years to build the Europe business for InMobi and headed human resources for over a year too. He has spoken globally about entrepreneurship, people, and culture and has been instrumental in getting InMobi recognitions like 50 Most Disruptive Companies in the world by MIT Technology Review, Outstanding startup of the year award by Forbes and many more. His love for innovation took him to Indian Institute of Technology, Kanpur (IIT) for his bachelors where in 2013 he was also honored with the esteemed ‘Distinguished Alumnus Award’ for his excellence in entrepreneurship.

His leadership mantra is simple - the essence of leadership is not only to have a vision but also what it takes to translate it into action.

(source: http://www.inmobi.com/organization/leadership/abhay-singhal#profile)",bangalore-karnataka,seed,,
Abhay Tandon,Abhay Tandon is the Head - of Digital and AI Innovation at TVS Motor Company. He attended SPJIMR SP Jain Institute of Management & Research.,india,,,
Abheek Anand,"Managing Director of SEA Investments Authentic founders who are just getting started on a business that they want to build for the rest of their lives. I believe that the most iconic companies take time to build, there are no shortcuts to building something meaningful, and that founder market fit is critical, especially in the early years. I love hearing the why behind the how, and the how behind the what. Why a founder started a business, how the idea came to them, and what drives their conviction and excitement while starting their business. The best founders are insanely curious because curiosity drives growth, and the best founders don’t have a choice but to grow immensely in their startup’s journey. I spend most of my time with seed and Series A founders, not only because that is the best time to help bend the arc, but also because, selfishly, it helps scratch the founder’s itch within me.",singapore-central-region,"Series B+, Seed, Series A",,
Abhi Anuket,"Abhi Anuket is the Founder and Managing Director of Magnivia Ventures. He previously worked at Starburst Aerospace as a Co-Founder, Managing Partner and CEO. Abhi Anuket attended Pace University.",new-york-new-york,seed,"saas-enterprise,fintech,aerospace-defense",
Abhi Arunachalam,"Abhi is the Managing Partner at Alkeon, enterprise-infrastructure investing on the West Coast in sectors such as cloud infrastructure, cybersecurity and big-data analytics. He has more than 12 years of operational and investment experience. Abhi is currently involved in Battery investments including Databricks, Expel, Fungible, InfluxData, Jask, JFrog, and Streamsets.

Before joining Battery, Abhi was a partner at Intel Capital, the investment arm of chip giant Intel Corp., where he focused on early- and growth-stage investing in areas including big-data analytics, mobile/IoT and broader infrastructure. At Intel Capital, he helped lead investments in category-defining companies such as Recon Instruments (acquired by Intel), EyeFluence (acquired by Google), iZettle, Urban Airship, Inrix and Brit+Co. He also served as a board observer at Kaltura, CashStar and Apperian.

Prior to Intel Capital Abhi spent over six years at Qualcomm Research in various operational roles. He built the industry leading APM solution for mobile handsets and backbone networks. Abhi was also involved with the incubation and design of Qualcomm’s LTE technology and managed strategic partnerships with OEMs, infrastructure vendors and carriers.

Abhi holds an MS in computer science from the State University of New York at Buffalo and an MBA, with honors, from the UCLA Anderson School of Management.",san-francisco-california,,"saas-enterprise,ecommerce-retail,cybersecurity",
Abhi Arya,"Abhi has 15+ years of diverse experience in the education (learning), technology, and consumer goods industries. He has successfully exited multiple entrepreneurial ventures and worked in various roles across operations, business transformation, strategy, and P&L management at P&G, Cadbury and most recently at Pearson as head of digital consumer for language learning business. He is also currently engaged with two of our portfolio companies, leading FEN’s learning businesses and serving on the Hopster board.",london-england,,,
Abhi Chakrabarti,"Abhi is a tech entrepreneur with expertise in language technology and freelancing marketplaces. Co-founder at Linguavista, Bentolingo, Uplancer.",new-york-new-york,,,
Abhi Das,"Co-Founder at 
Brainpan Innovations",new-york-new-york,early_stage_venture,,
Abhijay Thacker,Abhijay Thacker is the Senior Vice President at Picus Capital.,,,"fintech,cloud-infrastructure",
Abhijeet Kumar,"Abhijeet Kumar is based out of Mumbai, Maharashtra and is the Partner and Co-Founder of ah! Ventures Fund. Abhijeet previously worked at SMARTup Conclave as a Core Team Member. Abhijeet attended the Indian Institute of Technology, Bombay.",mumbai-maharashtra,,,
Abhijeet Mahagaonkar,Abhijeet Mahagaonkar is the Chief Technology Officer of Polychain Capital.,san-francisco-bay-area-california,,,
Abhijeet Singh,"Founder at STEPVUE, alumnus of Delhi College of Engineering and Rotterdam School of Management, Netherlands",,early_stage_venture,,
Abhijit Aitwade,"With a team of young enthusiastic and tech-savvy designers and developers, Abhijit founded Auspian Technologies in the year 2011. Abhijit has hands-on experience of more than 11 years as a web developer catering to various industries such as IT, Real Estate, E-commerce, Retail, etc. He believes in integrating creativity and innovation in each project to deliver best-in-class products in the most cost-effective manner.

Abhijit possesses in-depth knowledge of Web application development, CMS (Content Management Systems), E-Commerce, SaaS application development, and Mobile application development. His expertise includes; PHP, asp.net, c#, HTML, Javascript, Ajax, jquery, CSS, Java, MySQL, WordPress, Joomla, Android, and Windows phone.",kolhapur-maharashtra,,,
Abhijit Chaudhary,Abhijit Chaudhary is the Founder and CEO at Niral Networks. He attended Indian Institute of Science (IISc).,bengaluru-karnataka,,,
Abhijit Choudhury,"Entrepreneur, Artificial Intelligence, Natural Language Processing",bengaluru-karnataka,"debt, seed",,
Abhijit Pawar,"Abhijit Pawar is the Founder and Chairman of AP Globale. He was on the Executive Committee of the Mahratta Chamber of Commerce, Industries, and Agriculture (MCCIA). Abhijit is a member of the Young Presidents' Organization (YPO), an international peer network for CEOs and business leaders. In 2016, the Young Presidents Organisation - World Presidents Organisations (YPO-WPO) awarded him the first Global Impact Legacy Honour for his transformational efforts in the sphere of women's empowerment. Abhijit Pawar attended Shivaji University.",pune-maharashtra,,,
Abhijit Solanki,"Abhijit (Abhi) Solanki is the Strategic Alliances and Business Development at Proofpoint.

Abhijit founded Whiteboard Venture Partners in 2017. He is focused on helping entrepreneurs create, build and scale the next generation of enterprise companies.

Most recently, Abhijit was the cybersecurity investment lead at NexStar Partners. He joined NexStar from Symantec where he led the turn around of a $100M+ security product portfolio for the company. Prior to Symantec, Abhijit was with the Strategy & Corporate Development team at VMware. Abhijit started his career at McKinsey & Company where he worked with growth-stage and Fortune 500 companies in IT infrastructure, industrials, and consumer electronics.",palo-alto-california,,"saas-enterprise,fintech,cybersecurity,iot-hardware,cloud-infrastructure",
Abhik Choudhury,"Chief strategist and founder of Salt and Paper Consulting. He is also a visiting faculty of Marketing Research & Campaign Planning at the Indian Institute of Mass Communication, New Delhi and a multilingual songwriter featured on Rolling Stone India. He has cross-category experience with over 75 global brands and contributes to publications like Forbes, Adweek, Entrepreneur US, BusinessInsider, The Indian Express and The Hindu amongst others. See his insights at www.abhikchoudhury.com",delhi-delhi,,,
Abhilasha Purwar,Abhilasha Purwar is a Founder and CEO at Blue Sky Analytics. He Attended Yale School of the Environment.,united-states,,,
Abhilash Gopal,Abhilash Gopal is an Engineering leader at Microsoft. He attended Visvesvaraya Technological University.,bangalore-karnataka,,,
Abhilash Prabhakar,"Abhilash Prabhakar is highly motivated entrepreneur and goal oriented individual seeking to further his knowledge and experience in any way, shape or form possible. He is currently serving as Chairman of the Board at both Emperyan Heaven Private Limited and Emperyan Heaven Infrastructure Private Limited, both businesses he founded in Bangalore, India. He is an avid learner, quick on his feet, and calm under pressure. He is inventive and looks for any opportunities available to enhance his character. 

Abhilash graduated from RV Institute of Management in Bangalore, India in 2003 with his Master of Business Administration in Finance and Financial Management Services. Soon after, he founded his first business, Emperyan Holdings, which he later merged to form Emperyan Heaven Private Limited in 2012. Then, in 2014, he founded Emperyan Heaven Infrastructure Private Limited, a construction business based out of India. 

In his business, Abhilash Prabhakar operates on the belief that customer service should take precedence above all else. He also places a lot of emphasis on the well-being of his employees and the company culture as well, infusing the science of happiness into his business models. 

In his personal life, Abhilash Prabhakar is married and living in India with his wife. They love traveling together and seeing new sites while experiencing new cultures with new people. Abhilash also loves to read, is a jet skiing enthusiast, plays billiards whenever possible, and loves to swim. ",bangalore-karnataka,"crowdfunding, debt, early_stage_venture",,
Abhimanyu Dhamija,"Abhimanyu Dhamija: Data Scientist Turned Entrepreneur
Founder@KoalaLab, @AmberStudent
VP-Business@Khatabook
Data Scince@Housing, Quant@citi",mumbai-maharashtra,,,
Abhimanyu Lal,"Abhimanyu spent 8 years at eBay India in a variety of roles including Marketing, Category Management and Strategy. Abhimanyu built the Retention Marketing function at eBay India and he was most recently the Head of Marketing & Category Management functions. A graduate of IIM Ahmedabad, Abhimanyu is passionate about Marketplaces and their role in providing market access to ‘small’ establishments.",mumbai-maharashtra,seed,,
Abhinaba Das,"Abhinaba Das founded WebGo Software Labs in Bengaluru, embarking on his entrepreneurial journey in 2020. Having previously contributed to several startup ventures, Abhinaba aims to revolutionize the business landscape through WebGo Software Labs. His vision is to empower small and mid-level businesses, facilitating their transition to the digital realm and driving significant sales growth in a short timeframe.",bengaluru-karnataka,"early_stage_venture, seed",,
Abhi Nandan,"Product Manager at Xoxoday, ""data is my bread and butter"" and help businesses to find the subject and medium that best fits their unique identity.",hyderabad-andhra-pradesh,seed,,
Abhinandan Pandey,"As a digital marketing professional with over 10 years of experience, I have a proven track record of driving business growth for leading brands through innovative, data-driven strategies. My expertise lies in SEO, app marketing, paid media, AI-driven tactics, and content optimization, making me a versatile marketer in the fast-evolving digital landscape.

I excel in leveraging advanced tools like SEMrush, Google Analytics, Google Ads, Adobe Analytics, Screaming Frog, and AI platforms to design high-impact campaigns that not only boost visibility but also improve ROI. Whether it's growing organic traffic, enhancing app performance, or scaling paid media efforts, my focus is always on delivering measurable results.

Key Specializations:

1. SEO & Content Strategy: Spearheading technical SEO and content initiatives to drive organic traffic and maximize lead generation for global brands.
2. Paid Media & PPC: Developing high-ROI paid media campaigns on Google Ads, social media platforms, and app ecosystems, with a track record of increasing lead generation by 1760%.
3. App Marketing: Crafting and executing app marketing strategies that improve visibility, downloads, and engagement on iOS and Google Play.
4. Data-Driven Campaigns: Using tools like Adobe Analytics, SEMrush, and Google Search Console to translate insights into action, ensuring data-backed decision-making for continuous optimization.
5. Leadership & Collaboration: Leading cross-functional teams of 50+ members and managing vendor relationships to align marketing efforts with overall business goals.

Some of my notable achievements include:

1. Achieving a 1520% growth in Search Volume and Share of Voice for top-tier keywords.
2. Increasing loan inquiries by 944% for a financial client through strategic SEO efforts.
3. Maintaining top rankings for prime keywords across industries such as finance, retail, healthcare, and e-commerce.

My goal is to bring my expertise in growth marketing to advertising, PR agencies, or brands seeking to elevate their digital presence and deliver outstanding business results. I’m always excited about opportunities that challenge me to innovate, lead, and transform digital strategies into tangible growth.",delhi-delhi,,,
Abhinav Asthana,Abhinav Asthana is the Co-Founder and CEO of Postman. He was the CTO of photo app TeliportMe.,bengaluru-karnataka,,"saas-enterprise,cloud-infrastructure",
Abhinav Bansal,,gurgaon-haryana,"early_stage_venture, private_equity",,
Abhinav Chaturvedi,"Abhinav Chaturvedi joined Accel in 2012. Prior to joining Accel, Abhinav held engineering and product management positions at Amazon.com where he built online payment systems. Abhinav holds an MBA from Harvard Business School and a Bachelor’s degree in Computer Science and Engineering from the Indian Institute of Technology, Roorkee.",bengaluru-karnataka,"Series B+, Seed, Series A","saas-enterprise,fintech,ai-ml,cybersecurity",
Abhinav Girdhar,"Abhinav Girdhar is the Founder & CEO of AppyPie. Abhinav has more than 10 years of combined expertise in the fields of business and technical development.
His profound understanding of mobile app development technology and his astute remarks add significantly to the blog.
His specialties include the most recent developments in artificial intelligence and machine learning, mobile app trends, and SEO.
He enjoys working out and loves to run and work out hard in the gym to receive his daily dosage of endorphins.  Abhinav Girdhar attended the University of Westminster.",london-england,,,
Abhinav Grover,,new-delhi-delhi,seed,,
Abhinav Pathak,Abhinav Pathak is based out of and is the Founder and CEO of Escape Plan. Abhinav previously worked at Perpule as a Co-Founder and CEO. Abhinav Pathak attended National Institute of Technology Karnataka.,new-delhi-delhi,,,
Abhinav Shashank,"Abhinav Shashank is based out of San Francisco, California, and is the Co-Founder and CEO of Innovaccer. Abhinav previously worked at ASME as a Executive Committee Member. Abhinav Shashank attended Indian Institute of Technology Kharagpur.",san-francisco-california,,,
Abhinav Singhvi,Abhinav Singhvi is a Chief Financial Officer at Volatus Aerospace. He Attended Schulich School of Business - York University.,toronto-ontario,"early_stage_venture, seed",,
Abhinay Peddisetty,Abhinay Peddisetty is the Co-Founder of BukuWarung. He was an Angel Investor at Go Swift and the Head of Enterprise Business of APAC at Carousell before that.,jakarta-jakarta-raya,,,
Abhinay Rai,"Abhinay Rai is an indian lawyer specializes in commercial and taxation law. The Founder of Indian tax preparation company TaxCaller. having Professional Experience More than 8+ years in the field of Taxation Law. Rai was born on 2 January 1994 in the Lucknow city, India.",ghaziabad-uttar-pradesh,,,
Abhiraj Singh,Building Everyday to create an impact in this world.,delhi-delhi,,,
Abhiraj Singh Bhal,Abhiraj Singh Bhal is the Co-founder and CEO at Urban Company.,gurgaon-haryana,,,
Abhir Dayaram,"Abhir Dayaram is an international negotiator and a specialist in private equity and finance. He has previously worked in the Venture Capital, Mergers and Acquisitions, Corporate Finance and Private Equity divisions of Standard Bank in South Africa. His responsibilities included assessing performed deal valuations and credit analysis on opportunities for both financial and strategic acquisition on behalf of corporate clients, as well as the bank’s private equity division.

He is currently CEO of Quantum Capital Fund, a multi-staged venture capital firm that is largely invested in Quantitative Trading, Information Technology and the Online Media sectors. He spearheads the valuation process of investment opportunities and has functional responsibilities for the quality, consistency and improvement of its investment processes within and across each business line.

He is also a blogger on technology issues on his blog site Abhirdayaram.com, where he provides unbiased and independent opinionated news, analysis and forecasts relating to technology and private equity issues.",durban-na---south-africa,,,
Abhiroop Jayanthi,,mumbai-maharashtra,,fintech,
Abhiroop Srivastava,"Abhiroop (Abhi) Srivastava is a Co-Founder & COO at Prodo. He attended Saïd Business School, University of Oxford.",gurgaon-haryana,early_stage_venture,,
Abhishant Pant,"Abhishant Pant is a Mumbai based Fintech expert and has more than a decade of hands-on experience of payments landscape.

He has spoken about the Fintech landscape via Ted Talks, Lectures at NUS, IIM and IIT’s and at various Banking conferences, he is closely associated with the Fintech world (as mentor) via incubators like Barclays Rise and writes regularly on Fintech landscape opportunity and challenges.

He is extensively covered by Media both India (TOI, HT, ET, Zee News, India News , Mid-Day etc ) and abroad (BBC, Dagnes Nayhter) and was recently named among TOP100 Fintech Professionals in Asia.",mumbai-maharashtra,,,
Abhishek Bhatewara,,pune-maharashtra,seed,,
Abhishek Chaudhary,Abhishek Chaudhary is the React Developer at YUGMA. He attended Bharati Vidyapeeth.,mumbai-maharashtra,crowdfunding,,
Abhishek Chhajlani,"Abhishek Chhajlani is the Chief Operating Officer at Diaspark. He previously worked at Burrp and attended Birla Institute of Technology and Science, Pilani.",east-brunswick-new-jersey,,,
Abhishek Jha,"Hey everyoneeeee! Abhishek here! I am a serial entrepreneur and a website/software designer with a passion for building things that make peoples' lives simpler, better and happier! Also a NFTs lover!

Let us give a look at my journey!

2020: Always had the plan to create something innovative!

July 2021: Pandemic hit but things changed! Beginning of Book Buffet 'An initiative to create a world of books and readers that never ends'!

End of July 2021: Got my first order! That was a great moment for me!

2022: Working on more projects related to Book Buffet!

February 2022: We are now a team of 4-5 members!


Future: God knows what will happen!

That was my journey! 

Do visit us on our website!

Byeeeeeeeeeeee!",new-delhi-delhi,"debt, non_equity_assistance, private_equity",,
Abhishek Kankani,Abhishek Kankani is the Co-Founder & CEO at dyte.,faridabad-haryana,,,
Abhishek Krishna,Abhishek is a Serial Entrepreneur with 5+ years of Startup Ex. A nerd with insatiable desire for knowledge across domains who has been coding since school and has groomed and led Product Teams He’s a Musician and has organised Music events with 200+ Musicians Graduated From IIT Roorkee,singapore,,,
Abhishek Kumar Burman,Abhishek Kumar Burman is the chairman and managing director at NexMoney.,ranchi-jharkhand,,,
Abhishek Mahankal,"With over 8 years of experience with trading in the stock market, managing 3 brokerage firms and a complete passion and goal to motivate millions, Abhishek Mahankal is the man behind TRADR.",nagpur-maharashtra,private_equity,,
Abhishek Mahto,"Abhishek Mahto is a 21-year-old entrepreneur with 8 years of experience as the founder of start-ups. Currently, he is the CEO of a digital currency trading platform called Nomoex. He is also the Founder of MBT Ventures. 

At MBT Ventures, He are committed to shaping a future where technology and innovation create opportunities and drive sustainable growth. 

As a co-founder, He is  at the forefront of steering investments in cutting-edge sectors including Web3, AI, Cloud Computing, and Lifestyle Innovations. With a portfolio exceeding $60M, He is not just building businesses, He is crafting legacies for tomorrow. At MBT Ventures, committed to shaping a future where technology and innovation create opportunities and drive sustainable growth. As a co-founder, He is at the forefront of steering investments in cutting-edge sectors including Web3, AI, Cloud Computing, and Lifestyle Innovations. With a portfolio exceeding $60M, we're not just building businesses, He is crafting legacies for tomorrow.",bangalore-karnataka,"initial_coin_offering, seed",,
Abhishek Malani,"Yestreday I was reading about the Abhishek Malani, an awarded web designer. Abhishek Malani is also a Social worker and always help other for their better life and lifestyles. According to Abhishek Malani quest for Success, Mr. Abhishek Malani has helped most of his clients to speed up the lengthy process of Bankruptcy. Usually, a normal bankruptcy case takes several months to complete and the time gaps add a lot of stress for the debtor. Mr Abhishek Malani has helped all his clients to understand the critical process and make them confident about it.",greater-seattle-area,,,
